
 Document Pair(18,10) 	 Similarity Score: 40.38873605350878

 Document Pair(18,11) 	 Similarity Score: 40.38873605350878

 Document Pair(18,12) 	 Similarity Score: 40.38873605350878

 Document Pair(18,13) 	 Similarity Score: 40.38873605350878

 Document Pair(18,14) 	 Similarity Score: 40.38873605350878

 Document Pair(18,15) 	 Similarity Score: 138.92190129982208

 Document Pair(18,16) 	 Similarity Score: 138.92190129982208

 Document Pair(18,17) 	 Similarity Score: 138.92190129982208

 Document Pair(18,18) 	 Similarity Score: 138.92190129982208

 Document Pair(18,19) 	 Similarity Score: 138.92190129982208

 Document Pair(18,20) 	 Similarity Score: 138.92190129982208

 Document Pair(19,0) 	 Similarity Score: 40.38873605350878

 Document Pair(19,1) 	 Similarity Score: 40.38873605350878

 Document Pair(19,2) 	 Similarity Score: 40.38873605350878

 Document Pair(19,3) 	 Similarity Score: 40.38873605350878

 Document Pair(19,4) 	 Similarity Score: 40.38873605350878

 Document Pair(19,5) 	 Similarity Score: 40.38873605350878

 Document Pair(19,6) 	 Similarity Score: 40.38873605350878

 Document Pair(19,7) 	 Similarity Score: 40.38873605350878

 Document Pair(19,8) 	 Similarity Score: 40.38873605350878

 Document Pair(19,9) 	 Similarity Score: 40.38873605350878

 Document Pair(19,10) 	 Similarity Score: 40.38873605350878

 Document Pair(19,11) 	 Similarity Score: 40.38873605350878

 Document Pair(19,12) 	 Similarity Score: 40.38873605350878

 Document Pair(19,13) 	 Similarity Score: 40.38873605350878

 Document Pair(19,14) 	 Similarity Score: 40.38873605350878

 Document Pair(19,15) 	 Similarity Score: 138.92190129982208

 Document Pair(19,16) 	 Similarity Score: 138.92190129982208

 Document Pair(19,17) 	 Similarity Score: 138.92190129982208

 Document Pair(19,18) 	 Similarity Score: 138.92190129982208

 Document Pair(19,19) 	 Similarity Score: 138.92190129982208

 Document Pair(19,20) 	 Similarity Score: 138.92190129982208

 Document Pair(20,0) 	 Similarity Score: 40.38873605350878

 Document Pair(20,1) 	 Similarity Score: 40.38873605350878

 Document Pair(20,2) 	 Similarity Score: 40.38873605350878

 Document Pair(20,3) 	 Similarity Score: 40.38873605350878

 Document Pair(20,4) 	 Similarity Score: 40.38873605350878

 Document Pair(20,5) 	 Similarity Score: 40.38873605350878

 Document Pair(20,6) 	 Similarity Score: 40.38873605350878

 Document Pair(20,7) 	 Similarity Score: 40.38873605350878

 Document Pair(20,8) 	 Similarity Score: 40.38873605350878

 Document Pair(20,9) 	 Similarity Score: 40.38873605350878

 Document Pair(20,10) 	 Similarity Score: 40.38873605350878

 Document Pair(20,11) 	 Similarity Score: 40.38873605350878

 Document Pair(20,12) 	 Similarity Score: 40.38873605350878

 Document Pair(20,13) 	 Similarity Score: 40.38873605350878

 Document Pair(20,14) 	 Similarity Score: 40.38873605350878

 Document Pair(20,15) 	 Similarity Score: 138.92190129982208

 Document Pair(20,16) 	 Similarity Score: 138.92190129982208

 Document Pair(20,17) 	 Similarity Score: 138.92190129982208

 Document Pair(20,18) 	 Similarity Score: 138.92190129982208

 Document Pair(20,19) 	 Similarity Score: 138.92190129982208

 Document Pair(20,20) 	 Similarity Score: 138.92190129982208


Cluster1: {0, 4, 5, 6, 7, 8, 9, 10}
Cluster2: {1, 2, 3}
Cluster3: {11, 12, 13, 14}
Cluster4: {15, 16, 17, 18, 19, 20}

Number of clusters formed: 4
